01 02 03 04
01 02 03 11
01 02 03 12
01 02 03 13
01 02 03 14
01 02 03 15
01 02 03 16
01 02 03 17
01 02 03 18
01 02 03 19
01 02 03 20
01 02 04 11
01 02 04 12
01 02 04 14
01 02 04 15
01 02 04 16
01 02 04 17
01 02 04 18
01 02 04 19
01 02 04 20
01 02 05 07
01 02 05 08
01 02 05 09
01 02 05 10
01 02 05 11
01 02 05 12
01 02 05 14
01 02 05 15
01 02 05 16
01 02 05 17
01 02 05 18
01 02 05 19
01 02 05 20
01 02 06 07
01 02 06 14
01 02 06 15
01 02 06 16
01 02 06 17
01 02 06 18
01 02 06 19
01 02 06 20
01 02 14 15
01 02 14 16
01 02 14 17
01 02 14 18
01 02 14 19
01 02 14 20
01 02 15 16
01 02 15 17
01 02 15 18
01 02 15 19
01 02 15 20
01 02 16 17
01 02 16 18
01 02 16 19
01 02 16 20
01 02 17 18
01 02 17 19
01 02 17 20
01 02 18 19
01 02 18 20
01 02 19 20
01 03 06 10
01 03 07 13
01 03 08 13
01 13 14 15
01 13 14 16
01 13 14 17
01 13 14 18
01 13 14 19
01 13 14 20
01 15 16 17
01 15 16 18
01 15 16 19
01 15 16 20
01 17 18 19
01 17 18 20
02 03 06 10
02 07 08 13
03 04 05 06
03 04 05 11
03 04 05 12
03 04 05 14
03 04 05 15
03 04 05 16
03 04 05 17
03 04 05 18
03 04 05 19
03 04 05 20
03 04 14 15
03 04 14 16
03 04 14 17
03 04 14 18
03 04 14 19
03 04 14 20
03 04 15 16
03 04 15 17
03 04 15 18
03 04 15 19
03 04 15 20
03 04 16 17
03 04 16 18
03 04 16 19
03 04 16 20
03 04 17 18
03 04 17 19
03 04 17 20
03 04 18 19
03 04 18 20
03 04 19 20
03 05 06 07
03 05 06 14
03 05 06 15
03 05 06 16
03 05 06 17
03 05 06 18
03 05 06 19
03 05 06 20
03 07 08 09
04 05 06 13
04 05 06 14
04 05 06 15
04 05 06 16
04 05 06 17
04 05 06 18
04 05 06 19
04 05 06 20
04 06 08 09
04 07 08 10
04 07 09 10
04 09 10 13
04 11 12 13
05 06 14 15
05 06 14 16
05 06 14 17
05 06 14 18
05 06 14 19
05 06 14 20
05 06 15 16
05 06 15 17
05 06 15 18
05 06 15 19
05 06 15 20
05 06 16 17
05 06 16 18
05 06 16 19
05 06 16 20
05 06 17 18
05 06 17 19
05 06 17 20
05 06 18 19
05 06 18 20
05 06 19 20
05 08 09 10
05 09 11 13
05 10 12 13
06 07 08 11
06 07 08 12
06 07 09 12
06 08 09 11
06 08 10 11
06 09 12 13
06 10 11 12
06 10 11 13
07 08 09 14
07 08 09 15
07 08 09 16
07 08 09 17
07 08 09 18
07 08 09 19
07 08 09 20
07 08 14 15
07 08 14 16
07 08 14 17
07 08 14 18
07 08 14 19
07 08 14 20
07 08 15 16
07 08 15 17
07 08 15 18
07 08 15 19
07 08 15 20
07 08 16 17
07 08 16 18
07 08 16 19
07 08 16 20
07 08 17 18
07 08 17 19
07 08 17 20
07 08 18 19
07 08 18 20
07 08 19 20
07 09 10 11
07 10 11 12
07 10 11 14
07 10 11 15
07 10 11 16
07 10 11 17
07 10 11 18
07 10 11 19
07 10 11 20
07 12 13 14
07 12 13 15
07 12 13 16
07 12 13 17
07 12 13 18
07 12 13 19
07 12 13 20
08 09 10 12
08 09 11 12
08 10 12 14
08 10 12 15
08 10 12 16
08 10 12 17
08 10 12 18
08 10 12 19
08 10 12 20
08 11 13 14
08 11 13 15
08 11 13 16
08 11 13 17
08 11 13 18
08 11 13 19
08 11 13 20
09 10 13 14
09 10 13 15
09 10 13 16
09 10 13 17
09 10 13 18
09 10 13 19
09 10 13 20
09 10 14 15
09 10 14 16
09 10 14 17
09 10 14 18
09 10 14 19
09 10 14 20
09 10 15 16
09 10 15 17
09 10 15 18
09 10 15 19
09 10 15 20
09 10 16 17
09 10 16 18
09 10 16 19
09 10 16 20
09 10 17 18
09 10 17 19
09 10 17 20
09 10 18 19
09 10 18 20
09 10 19 20
09 11 12 14
09 11 12 15
09 11 12 16
09 11 12 17
09 11 12 18
09 11 12 19
09 11 12 20
11 12 14 15
11 12 14 16
11 12 14 17
11 12 14 18
11 12 14 19
11 12 14 20
11 12 15 16
11 12 15 17
11 12 15 18
11 12 15 19
11 12 15 20
11 12 16 17
11 12 16 18
11 12 16 19
11 12 16 20
11 12 17 18
11 12 17 19
11 12 17 20
11 12 18 19
11 12 18 20
11 12 19 20
13 14 15 16
13 14 15 17
13 14 15 18
13 14 15 19
13 14 15 20
13 14 16 17
13 14 16 18
13 14 16 19
13 14 16 20
13 14 17 18
13 14 17 19
13 14 17 20
13 14 18 19
13 14 18 20
13 14 19 20
15 16 17 18
15 16 17 19
15 16 17 20
15 16 18 19
15 16 18 20
15 16 19 20
17 18 19 20
